ticker,entrada_data,entry,stop,alvo,saida_data,R
GS,2020-11-23,199.18,161.48,312.28,2021-02-22,2.07
GS,2020-12-09,212.51,200.52,248.51,2021-01-06,3.0
GS,2020-12-31,230.8,200.52,321.64,2021-03-30,2.01
GS,2021-02-12,268.09,236.84,361.82,2021-05-11,1.54
GS,2021-08-23,353.92,327.75,432.41,2021-11-16,0.12
GS,2022-08-05,301.63,286.39,347.36,2022-09-22,-1.0
GS,2023-11-24,317.22,298.99,371.91,2024-02-12,3.0
GS,2023-12-27,362.57,313.22,510.64,2024-03-25,0.45
GS,2024-02-12,370.27,352.91,422.32,2024-05-07,3.0
GS,2024-08-23,486.72,417.88,693.24,2024-11-18,1.14
GS,2025-02-05,623.42,603.14,684.24,2025-02-21,-1.0
GS,2025-09-04,734.45,688.26,873.05,2025-11-28,1.64
GS,2025-09-23,790.77,707.25,1041.32,2025-12-17,0.83
GS,2025-12-03,824.5,739.46,1079.63,2026-03-03,0.35
GS,2026-05-11,936.13,890.69,1072.44,2026-06-04,3.0
HON,2017-05-09,102.94,101.55,107.1,2017-05-18,-1.0
HON,2017-05-15,102.99,101.55,107.32,2017-05-18,-1.0
HON,2018-08-27,128.11,120.97,149.51,2018-10-23,-1.0
HON,2018-09-28,133.78,130.31,144.17,2018-10-10,-1.0
HON,2019-02-25,130.64,124.15,150.1,2019-05-21,2.03
HON,2019-03-01,132.05,124.15,155.73,2019-05-28,1.11
HON,2019-06-18,149.76,138.62,183.17,2019-08-05,-1.0
HON,2021-03-18,190.21,177.38,228.72,2021-06-14,0.63
HON,2021-08-16,208.48,202.15,227.46,2021-08-19,-1.0
HON,2022-08-10,178.56,170.02,204.17,2022-09-02,-1.0
HON,2023-12-22,192.17,180.37,227.58,2024-02-01,-1.0
ITUB4.SA,2017-01-23,12.71,10.26,20.05,2017-04-24,0.2
ITUB4.SA,2017-09-29,15.04,13.95,18.3,2017-12-22,-0.2
ITUB4.SA,2019-06-07,20.6,18.27,27.6,2019-09-03,-0.36
ITUB4.SA,2020-12-10,19.79,17.9,25.44,2021-01-26,-1.0
ITUB4.SA,2020-12-16,19.95,17.9,26.11,2021-01-26,-1.0
